id,rep_id,customer_id,activity_type,date,duration_minutes,subject,comment,sentiment,deal_id,follow_up_date,tags
ACT016,REP002,CUST005,Web会議,2026-04-14,90,年間契約更新交渉,埼玉県立総合教育センター木村 正事務局長とWeb会議で在庫状況の確認と発注調整について協議。予算確保が課題とのこと。見積り1000枚ベースで作成予定。来週サンプル送付予定。,neutral,DEAL012,2026-04-28,サンプル; スウェット
ACT012,REP001,CUST027,メール,2026-04-12,30,在庫状況確認と納期調整,クリエイティブラボ東京松田 あゆみクリエイティブディレクターからメール返信。追加発注の打ち合わせについて。現行品との比較を希望。次回訪問時にプレゼン資料持参。,neutral,DEAL002,2026-04-19,
ACT038,REP003,,電話,2026-04-12,60,在庫状況確認と納期調整,新規見込み客担当者に定期フォロー電話。価格改定の協議。予算確保が課題とのこと。次回はGW明けに再度連絡。,negative,,2026-04-19,パーカー; 新規; 価格; スウェット
ACT060,REP005,CUST026,電話,2026-04-12,30,西日本物流株式会社へのドライアスレチックTシャツ提案,西日本物流株式会社佐野 正義管理部長に定期フォロー電話。年間契約更新交渉。現行品との比較を希望。次回は来週サンプル送付予定。,neutral,DEAL035,2026-04-16,サンプル; 契約更新; ドライ
ACT015,REP002,CUST025,訪問,2026-04-11,10,新規案件ヒアリング,関東学生陸上競技連盟久保田 修事務局次長を訪問。年間契約の更新交渉。昨年度は2020-01 ドライカノコポロシャツを中心に約3000枚の実績。今年度は10%増の見込み。ボリュームディスカウントを提案。来週サンプル送付予定。,neutral,DEAL011,2026-04-23,サンプル; ドライ; ポロシャツ
ACT043,REP004,CUST019,Web会議,2026-04-10,50,東北自動車販売協会へのドライアスレチックロングスリーブTシャツ提案,東北自動車販売協会阿部 和彦総務委員長とオンライン打ち合わせ。年間契約更新交渉の詳細を確認。5942-01 ドライアスレチックロングスリーブTシャツの納期は来月末を希望。次回訪問時にプレゼン資料持参。,positive,,2026-04-18,納期; 契約更新; ドライ
ACT004,REP001,CUST004,メール,2026-04-09,30,在庫状況確認と納期調整,セレクトショップ URBAN STYLE西村 彩香バイヤーからメール返信。年間契約更新交渉について。品質に満足いただけた。GW明けに再度連絡。,positive,DEAL006,2026-04-19,契約更新
ACT068,REP005,CUST026,訪問,2026-04-07,10,在庫状況確認と納期調整,西日本物流株式会社佐野 正義管理部長を訪問し、追加発注の打ち合わせについて協議。5044-01 10.0オンス スウェットパンツへの関心が高い。サンプルミックスグレー・ブラックを送付予定。見積りは20000枚規模で依頼あり。GW明けに再度連絡。,positive,DEAL035,2026-04-13,サンプル; スウェット
ACT070,REP006,CUST009,訪問,2026-04-04,45,年間契約更新交渉,京都織物工業株式会社井上 和夫商品企画部長訪問。来期の発注計画確認。先方からは興味を示されたが価格面で慎重。競合は不明が入っているとの情報。倉庫に在庫状況を確認して回答。,neutral,DEAL036,,価格; ドライ; ポロシャツ
ACT084,REP007,CUST010,電話,2026-04-04,75,中国地方建設業協同組合への10.0オンス提案,中国地方建設業協同組合山田 勝事務局次長より電話。新商品ラインナップ提案について。吸汗速乾素材のニーズが高まっているとのこと。社内で価格承認を取得後回答。,negative,,2026-04-11,価格; スウェット
ACT017,REP002,CUST025,Web会議,2026-04-03,25,関東学生陸上競技連盟 定期フォロー,関東学生陸上競技連盟久保田 修事務局次長とオンライン打ち合わせ。5044-01 10.0オンス スウェットパンツの新規提案の詳細を確認。5044-01 10.0オンス スウェットパンツの新色の追加を検討中。社内で価格承認を取得後回答。,negative,DEAL011,2026-04-07,新規; 価格; スウェット
ACT030,REP003,CUST022,Web会議,2026-04-03,90,新規案件ヒアリング,宇都宮フットサルリーグ石原 拓也事務局長とオンライン打ち合わせ。新商品ラインナップ提案の詳細を確認。1520-01 キャンバストートバッグの現行品との比較テストを実施中。1週間以内にフォローアップ電話。,negative,DEAL016,,
ACT046,REP004,CUST021,訪問,2026-04-02,90,在庫状況確認と納期調整,新潟県温泉旅館組合斎藤 正夫事務局長訪問。9660-01 フラットバイザーキャップの新規提案。先方からは興味を示されたが価格面で慎重。競合は地元業者が入っているとの情報。来週サンプル送付予定。,positive,,2026-04-16,サンプル; 新規; 価格
ACT019,REP002,,メール,2026-03-31,50,年間契約更新交渉,新規見込み客担当者からメール返信。2020-01 ドライカノコポロシャツの新規提案について。競合比較中で返答待ち。来週サンプル送付予定。,positive,,2026-04-03,サンプル; 新規; ドライ; ポロシャツ
ACT055,REP005,CUST026,訪問,2026-03-31,45,価格改定の相談,西日本物流株式会社佐野 正義管理部長を訪問。9660-01 フラットバイザーキャップの新規提案について打ち合わせ。新色の追加を検討中。社内で価格承認を取得後回答。,neutral,DEAL035,2026-04-07,新規; 価格
ACT066,REP005,CUST007,メール,2026-03-31,30,在庫状況確認と納期調整,関西フードサービス株式会社吉田 裕子総務部課長からメール返信。サンプル評価フィードバックについて。競合比較中で返答待ち。来週サンプル送付予定。,neutral,DEAL030,2026-04-08,サンプル; ドライ; ポロシャツ
ACT023,REP002,CUST018,訪問,2026-03-29,20,グラフィックプリント北関東 追加発注確認,グラフィックプリント北関東関根 太一工場長を訪問。在庫状況の確認と発注調整について打ち合わせ。納期は来月末を希望。来週サンプル送付予定。,neutral,,2026-04-02,サンプル; 納期
ACT082,REP007,CUST010,訪問,2026-03-29,75,中国地方建設業協同組合 追加発注確認,中国地方建設業協同組合山田 勝事務局次長を訪問。追加発注の打ち合わせ。5900-01 ドライアスレチックTシャツの提案を実施。即決には至らず検討中。社内で価格承認を取得後回答。,negative,,2026-04-05,価格; ドライ
ACT053,REP004,,訪問,2026-03-27,30,サンプル送付・フィードバック確認,新規見込み客担当者訪問。価格改定の協議。先方からは非常に前向きで早期発注を検討中。競合は不明が入っているとの情報。倉庫に在庫状況を確認して回答。,positive,,2026-04-10,価格; 新規; ドライ; ポロシャツ
ACT054,REP004,CUST019,電話,2026-03-27,50,来期発注計画のすり合わせ,東北自動車販売協会阿部 和彦総務委員長より問い合わせ電話。5942-01 ドライアスレチックロングスリーブTシャツの吸汗速乾素材のニーズが高まっているとのこと。5000枚の見込み。1週間以内にフォローアップ電話。,neutral,,2026-04-02,ドライ
ACT008,REP001,CUST023,訪問,2026-03-26,75,新規案件ヒアリング,テクノロジーパーク株式会社橋本 隆人事総務部長を訪問。在庫状況の確認と発注調整について打ち合わせ。サンプル3色を来週送付予定。GW明けに再度連絡。,neutral,,2026-03-31,サンプル; スウェット
ACT009,REP001,CUST023,電話,2026-03-25,90,テクノロジーパーク株式会社 追加発注確認,テクノロジーパーク株式会社橋本 隆人事総務部長に定期フォロー電話。価格改定の協議。品質に満足いただけた。次回は社内で価格承認を取得後回答。,neutral,,2026-03-30,価格
ACT037,REP003,CUST017,訪問,2026-03-25,15,新規案件ヒアリング,株式会社アスリートワン谷口 翔商品企画リーダーを訪問。年間契約の更新交渉。昨年度は1520-01 キャンバストートバッグを中心に約3000枚の実績。今年度は20%増の見込み。ボリュームディスカウントを提案。来週サンプル送付予定。,neutral,,2026-03-30,サンプル
ACT061,REP005,,電話,2026-03-25,90,年間契約更新交渉,新規見込み客担当者より電話。年間契約更新交渉について。刺繍・プリント加工の仕様を詳細確認。1週間以内にフォローアップ電話。,positive,,2026-04-02,契約更新; 新規; ドライ
ACT075,REP006,CUST016,訪問,2026-03-22,15,新商品ラインナップ提案,株式会社名古屋テキスタイル近藤 裕也MD部長を訪問し、追加発注の打ち合わせについて協議。9660-01 フラットバイザーキャップへの関心が高い。サンプルネイビー・ミックスグレーを送付予定。見積りは10000枚規模で依頼あり。次回訪問時にプレゼン資料持参。,positive,DEAL041,2026-04-05,サンプル
ACT081,REP007,CUST010,Web会議,2026-03-22,25,価格改定の相談,中国地方建設業協同組合山田 勝事務局次長とWeb会議。追加発注の打ち合わせについて。現行品との比較テストを実施中。来月の定期訪問で進捗確認。,neutral,,2026-03-25,ドライ; ポロシャツ
ACT100,REP008,CUST011,訪問,2026-03-22,40,在庫状況確認と納期調整,九州スポーツアカデミー原田 大介アカデミー長を訪問し、新商品ラインナップ提案について協議。2020-01 ドライカノコポロシャツへの関心が高い。サンプルサンドカーキ・ネイビーを送付予定。見積りは500枚規模で依頼あり。見積り作成後に再訪問。,neutral,,2026-03-30,サンプル; ドライ; ポロシャツ
ACT041,REP003,,Web会議,2026-03-21,50,新商品ラインナップ提案,新規見込み客担当者とWeb会議で追加発注の打ち合わせについて協議。予算確保が課題とのこと。見積り8000枚ベースで作成予定。来週サンプル送付予定。,positive,,2026-03-25,サンプル; 新規; ドライ
ACT051,REP004,CUST024,Web会議,2026-03-21,90,新規案件ヒアリング,札幌ラーメン街道協会田村 誠会長とWeb会議で価格改定の協議について協議。担当者変更の可能性あり注意。見積り10000枚ベースで作成予定。来月の定期訪問で進捗確認。,neutral,,2026-03-24,価格
ACT093,REP008,CUST011,メール,2026-03-19,20,価格改定の相談,九州スポーツアカデミー原田 大介アカデミー長からメール返信。年間契約更新交渉について。現行品との比較を希望。見積り作成後に再訪問。,negative,,,契約更新; ドライ; ポロシャツ
ACT107,REP008,CUST020,電話,2026-03-18,20,新規案件ヒアリング,株式会社沖縄リゾートマネジメント上原 明購買担当より電話。5214-01 スウェットプルオーバーパーカーの新規提案について。サンプル3色を来週送付予定。来週サンプル送付予定。,neutral,DEAL052,2026-03-22,サンプル; パーカー; 新規; スウェット
ACT020,REP002,CUST018,訪問,2026-03-17,75,年間契約更新交渉,グラフィックプリント北関東関根 太一工場長を訪問し、在庫状況の確認と発注調整について協議。5001-01 ヘビーウェイトTシャツへの関心が高い。サンプルネイビー・蛍光イエローを送付予定。見積りは2000枚規模で依頼あり。来月の定期訪問で進捗確認。,neutral,,2026-03-29,サンプル; ヘビーウェイト
ACT047,REP004,,電話,2026-03-15,30,価格改定の相談,新規見込み客担当者に架電。新商品ラインナップ提案の確認。予算確保が課題とのこと。倉庫に在庫状況を確認して回答。,positive,,,新規; スウェット
ACT065,REP005,CUST026,メール,2026-03-15,120,サンプル送付・フィードバック確認,西日本物流株式会社佐野 正義管理部長にカタログ・サンプル(5214-01 スウェットプルオーバーパーカー フォレストグリーン・ナチュラル)を送付完了。GW明けに再度連絡。,positive,DEAL035,2026-03-28,サンプル; パーカー; スウェット
ACT067,REP005,CUST026,電話,2026-03-15,40,サンプル送付・フィードバック確認,西日本物流株式会社佐野 正義管理部長に定期フォロー電話。新商品ラインナップ提案。即決には至らず検討中。次回は倉庫に在庫状況を確認して回答。,neutral,DEAL035,2026-03-21,スウェット
ACT073,REP006,CUST012,訪問,2026-03-13,45,デジタルプリントジャパン株式会社 追加発注確認,デジタルプリントジャパン株式会社村上 恵美仕入部長を訪問。新商品ラインナップ提案について打ち合わせ。納期は来月末を希望。GW明けに再度連絡。,neutral,DEAL044,2026-03-21,納期
ACT011,REP001,CUST004,Web会議,2026-03-11,45,新規案件ヒアリング,セレクトショップ URBAN STYLE西村 彩香バイヤーとWeb会議で年間契約更新交渉について協議。予算確保が課題とのこと。見積り8000枚ベースで作成予定。来週サンプル送付予定。,neutral,DEAL006,2026-03-16,サンプル; 契約更新; ドライ
ACT027,REP002,,メール,2026-03-11,90,新規見込み客 追加発注確認,新規見込み客担当者にカタログ・サンプル(2020-01 ドライカノコポロシャツ 蛍光イエロー・ミックスグレー)を送付完了。次回訪問時にプレゼン資料持参。,positive,,,サンプル; 新規; ドライ; ポロシャツ
ACT071,REP006,,訪問,2026-03-11,10,新規見込み客 追加発注確認,新規見込み客担当者訪問。年間契約更新交渉。先方からは好感触で前向きな反応。競合はジャージーズが入っているとの情報。社内で価格承認を取得後回答。,negative,,2026-03-17,契約更新; 新規; 価格; スウェット
ACT079,REP006,CUST016,Web会議,2026-03-11,60,株式会社名古屋テキスタイル 追加発注確認,株式会社名古屋テキスタイル近藤 裕也MD部長とWeb会議。年間契約更新交渉について。現行品との比較テストを実施中。上長承認後に正式提案。,positive,DEAL041,2026-03-21,契約更新; ドライ
ACT090,REP007,CUST015,Web会議,2026-03-10,15,在庫状況確認と納期調整,四国メディカルサプライ株式会社三浦 健二営業部長とWeb会議で年間契約更新交渉について協議。興味を示されたが価格面で慎重。見積り20000枚ベースで作成予定。社内で価格承認を取得後回答。,neutral,,,契約更新; 価格; ドライ; ポロシャツ
ACT036,REP003,CUST017,訪問,2026-03-09,75,在庫状況確認と納期調整,株式会社アスリートワン谷口 翔商品企画リーダーを訪問。年間契約の更新交渉。昨年度は2020-01 ドライカノコポロシャツを中心に約5000枚の実績。今年度は10%増の見込み。ボリュームディスカウントを提案。来月の定期訪問で進捗確認。,positive,,2026-03-13,ドライ; ポロシャツ
ACT064,REP005,CUST008,Web会議,2026-03-08,45,大阪プロモーションセンター 追加発注確認,大阪プロモーションセンター岡田 智也企画ディレクターとオンライン打ち合わせ。来期の発注計画確認の詳細を確認。2020-01 ドライカノコポロシャツの吸汗速乾素材のニーズが高まっているとのこと。GW明けに再度連絡。,negative,,2026-03-14,ドライ; ポロシャツ
ACT087,REP007,CUST030,メール,2026-03-08,90,岡山デニムストリート 定期フォロー,岡山デニムストリート武田 一郎店長からメール返信。追加発注の打ち合わせについて。予算確保が課題とのこと。社内で価格承認を取得後回答。,neutral,DEAL047,2026-03-15,パーカー; 価格; スウェット
ACT050,REP004,CUST014,Web会議,2026-03-06,20,新商品ラインナップ提案,株式会社横浜クリエイティブ川口 美穂プロダクションマネージャーとオンライン打ち合わせ。新商品ラインナップ提案の詳細を確認。5900-01 ドライアスレチックTシャツのサンプル3色を来週送付予定。上長承認後に正式提案。,neutral,DEAL026,2026-03-15,サンプル; ドライ
ACT052,REP004,CUST021,電話,2026-03-04,75,価格改定の相談,新潟県温泉旅館組合斎藤 正夫事務局長に架電。サンプル評価フィードバックの確認。担当者変更の可能性あり注意。見積り作成後に再訪問。,negative,,2026-03-18,サンプル
ACT077,REP006,CUST016,メール,2026-03-04,45,価格改定の相談,株式会社名古屋テキスタイル近藤 裕也MD部長からメール返信。新商品ラインナップ提案について。担当者変更の可能性あり注意。社内で価格承認を取得後回答。,positive,DEAL041,2026-03-10,価格; ドライ
ACT069,REP006,CUST009,訪問,2026-03-03,90,在庫状況確認と納期調整,京都織物工業株式会社井上 和夫商品企画部長を訪問。年間契約の更新交渉。昨年度は5044-01 10.0オンス スウェットパンツを中心に約3000枚の実績。今年度は横ばいの見込み。単価交渉が必要。来週サンプル送付予定。,negative,DEAL036,2026-03-08,サンプル; スウェット
ACT103,REP008,CUST011,訪問,2026-03-03,75,在庫状況確認と納期調整,九州スポーツアカデミー原田 大介アカデミー長を訪問。来期の発注計画確認。5029-01 ヘビーウェイトロングスリーブTシャツの提案を実施。好感触で前向きな反応。見積り作成後に再訪問。,negative,,2026-03-13,ヘビーウェイト
ACT039,REP003,,Web会議,2026-03-01,60,来期発注計画のすり合わせ,新規見込み客担当者とWeb会議。新商品ラインナップ提案について。現行品との比較テストを実施中。1週間以内にフォローアップ電話。,negative,,,新規
ACT104,REP008,,Web会議,2026-03-01,45,新規見込み客 追加発注確認,新規見込み客担当者とWeb会議。追加発注の打ち合わせについて。現行品との比較テストを実施中。GW明けに再度連絡。,neutral,,,パーカー; 新規; スウェット
ACT057,REP005,CUST028,訪問,2026-02-26,15,神戸市スポーツ振興協会 追加発注確認,神戸市スポーツ振興協会遠藤 健次事業課長を訪問。価格改定の協議について打ち合わせ。新色の追加を検討中。来週サンプル送付予定。,positive,,2026-03-04,サンプル; 価格; ドライ
ACT005,REP001,CUST027,訪問,2026-02-25,50,新商品ラインナップ提案,クリエイティブラボ東京松田 あゆみクリエイティブディレクターを訪問。年間契約更新交渉。5029-01 ヘビーウェイトロングスリーブTシャツの提案を実施。担当者変更の可能性あり注意。来週サンプル送付予定。,neutral,DEAL002,2026-03-10,サンプル; 契約更新; ヘビーウェイト
