id,rep_id,customer_id,activity_type,date,duration_minutes,subject,comment,sentiment,deal_id,follow_up_date,tags
ACT088,REP007,CUST015,電話,2026-02-25,60,新規案件ヒアリング,四国メディカルサプライ株式会社三浦 健二営業部長より電話。年間契約更新交渉について。新色の追加を検討中。見積り作成後に再訪問。,positive,,2026-03-07,契約更新; スウェット
ACT083,REP007,CUST030,訪問,2026-02-24,90,岡山デニムストリート 追加発注確認,岡山デニムストリート武田 一郎店長を訪問。来期の発注計画確認について打ち合わせ。吸汗速乾素材のニーズが高まっているとのこと。GW明けに再度連絡。,neutral,DEAL047,,パーカー; スウェット
ACT014,REP001,CUST002,Web会議,2026-02-23,20,来期発注計画のすり合わせ,プロモーションワークス株式会社石川 真理営業企画部マネージャーとWeb会議。新商品ラインナップ提案について。新色の追加を検討中。次回訪問時にプレゼン資料持参。,negative,DEAL003,2026-03-02,ヘビーウェイト
ACT031,REP003,,Web会議,2026-02-23,40,来期発注計画のすり合わせ,新規見込み客担当者とWeb会議で在庫状況の確認と発注調整について協議。担当者変更の可能性あり注意。見積り20000枚ベースで作成予定。次回訪問時にプレゼン資料持参。,positive,,2026-03-03,新規; ドライ
ACT095,REP008,CUST029,Web会議,2026-02-23,10,株式会社福岡ワーカーズ 追加発注確認,株式会社福岡ワーカーズ中島 大樹業務管理部長とオンライン打ち合わせ。サンプル評価フィードバックの詳細を確認。5900-01 ドライアスレチックTシャツの吸汗速乾素材のニーズが高まっているとのこと。見積り作成後に再訪問。,neutral,DEAL057,2026-03-06,サンプル; ドライ
ACT072,REP006,CUST016,メール,2026-02-22,15,新商品ラインナップ提案,株式会社名古屋テキスタイル近藤 裕也MD部長にカタログ・サンプル(5900-01 ドライアスレチックTシャツ レッド・ネイビー)を送付完了。倉庫に在庫状況を確認して回答。,neutral,DEAL041,2026-03-06,サンプル; ドライ
ACT040,REP003,CUST022,訪問,2026-02-21,45,来期発注計画のすり合わせ,宇都宮フットサルリーグ石原 拓也事務局長を訪問。年間契約更新交渉。1520-01 キャンバストートバッグの提案を実施。競合比較中で返答待ち。次回訪問時にプレゼン資料持参。,neutral,DEAL019,2026-02-24,契約更新
ACT006,REP001,CUST002,電話,2026-02-20,40,新規案件ヒアリング,プロモーションワークス株式会社石川 真理営業企画部マネージャーより電話。価格改定の協議について。吸汗速乾素材のニーズが高まっているとのこと。倉庫に在庫状況を確認して回答。,negative,DEAL003,2026-03-02,価格; スウェット
ACT007,REP001,CUST002,訪問,2026-02-20,20,価格改定の相談,プロモーションワークス株式会社石川 真理営業企画部マネージャーを訪問し、年間契約更新交渉について協議。5214-01 スウェットプルオーバーパーカーへの関心が高い。サンプルホワイト・スモーキーグリーンを送付予定。見積りは1000枚規模で依頼あり。社内で価格承認を取得後回答。,neutral,DEAL003,2026-03-06,パーカー; 契約更新; 価格; スウェット; サンプル
ACT025,REP002,CUST005,電話,2026-02-20,120,在庫状況確認と納期調整,埼玉県立総合教育センター木村 正事務局長より問い合わせ電話。5900-01 ドライアスレチックTシャツのサンプル3色を来週送付予定。5000枚の見込み。来週サンプル送付予定。,positive,DEAL012,,サンプル; ドライ
ACT049,REP004,,電話,2026-02-20,45,年間契約更新交渉,新規見込み客担当者より電話。年間契約更新交渉について。刺繍・プリント加工の仕様を詳細確認。倉庫に在庫状況を確認して回答。,neutral,,2026-02-27,契約更新; 新規; スウェット
ACT001,REP001,CUST001,メール,2026-02-19,30,価格改定の相談,株式会社東京ユニフォームサービス森田 浩二購買部長宛に5214-01 スウェットプルオーバーパーカーの新規提案のメールを送付。納期は来月末を希望。来月の定期訪問で進捗確認。,positive,,2026-02-28,納期; パーカー; 新規; スウェット
ACT058,REP005,,電話,2026-02-18,60,来期発注計画のすり合わせ,新規見込み客担当者より問い合わせ電話。5044-01 10.0オンス スウェットパンツの納期は来月末を希望。1000枚の見込み。次回訪問時にプレゼン資料持参。,neutral,,,納期; 新規; スウェット
ACT074,REP006,CUST009,電話,2026-02-18,40,在庫状況確認と納期調整,京都織物工業株式会社井上 和夫商品企画部長に架電。年間契約更新交渉の確認。非常に前向きで早期発注を検討中。来月の定期訪問で進捗確認。,positive,DEAL036,2026-02-27,契約更新; ドライ
ACT106,REP008,CUST011,訪問,2026-02-18,75,新規案件ヒアリング,九州スポーツアカデミー原田 大介アカデミー長を訪問。年間契約の更新交渉。昨年度は2020-01 ドライカノコポロシャツを中心に約3000枚の実績。今年度は10%増の見込み。ボリュームディスカウントを提案。1週間以内にフォローアップ電話。,positive,,2026-02-24,ドライ; ポロシャツ
ACT003,REP001,,メール,2026-02-17,120,来期発注計画のすり合わせ,新規見込み客担当者にカタログ・サンプル(2020-01 ドライカノコポロシャツ ホワイト・スモーキーグリーン)を送付完了。上長承認後に正式提案。,neutral,,2026-02-21,サンプル; 新規; ドライ; ポロシャツ
ACT018,REP002,CUST005,訪問,2026-02-15,20,埼玉県立総合教育センター 定期フォロー,埼玉県立総合教育センター木村 正事務局長を訪問。年間契約の更新交渉。昨年度は5942-01 ドライアスレチックロングスリーブTシャツを中心に約3000枚の実績。今年度は20%増の見込み。単価交渉が必要。社内で価格承認を取得後回答。,neutral,DEAL007,2026-02-20,価格; ドライ
ACT042,REP003,CUST017,電話,2026-02-15,50,サンプル送付・フィードバック確認,株式会社アスリートワン谷口 翔商品企画リーダーより電話。5004-01 ポケット付きTシャツの新規提案について。新色の追加を検討中。上長承認後に正式提案。,positive,,,新規
ACT048,REP004,,Web会議,2026-02-15,50,サンプル送付・フィードバック確認,新規見込み客担当者とWeb会議。新商品ラインナップ提案について。納期は来月末を希望。GW明けに再度連絡。,positive,,2026-02-18,納期; 新規; ヘビーウェイト
ACT099,REP008,CUST020,訪問,2026-02-15,25,在庫状況確認と納期調整,株式会社沖縄リゾートマネジメント上原 明購買担当を訪問。在庫状況の確認と発注調整。1520-01 キャンバストートバッグの提案を実施。品質に満足いただけた。上長承認後に正式提案。,neutral,DEAL052,2026-02-20,
ACT013,REP001,CUST023,メール,2026-02-14,40,サンプル送付・フィードバック確認,テクノロジーパーク株式会社橋本 隆人事総務部長からメール返信。新商品ラインナップ提案について。競合比較中で返答待ち。次回訪問時にプレゼン資料持参。,neutral,,,ドライ
ACT086,REP007,CUST010,電話,2026-02-14,30,新規案件ヒアリング,中国地方建設業協同組合山田 勝事務局次長に架電。新商品ラインナップ提案の確認。担当者変更の可能性あり注意。1週間以内にフォローアップ電話。,positive,,2026-02-25,ドライ
ACT033,REP003,CUST022,Web会議,2026-02-13,30,宇都宮フットサルリーグへの10.0オンス提案,宇都宮フットサルリーグ石原 拓也事務局長とWeb会議。来期の発注計画確認について。刺繍・プリント加工の仕様を詳細確認。来月の定期訪問で進捗確認。,neutral,DEAL020,2026-02-21,スウェット
ACT056,REP005,CUST007,訪問,2026-02-13,90,年間契約更新交渉,関西フードサービス株式会社吉田 裕子総務部課長を訪問。在庫状況の確認と発注調整について打ち合わせ。サンプル3色を来週送付予定。来月の定期訪問で進捗確認。,neutral,DEAL030,2026-02-18,サンプル
ACT059,REP005,CUST026,電話,2026-02-12,10,年間契約更新交渉,西日本物流株式会社佐野 正義管理部長に定期フォロー電話。追加発注の打ち合わせ。担当者変更の可能性あり注意。次回は倉庫に在庫状況を確認して回答。,neutral,DEAL035,2026-02-23,ドライ; ポロシャツ
ACT024,REP002,CUST005,訪問,2026-02-11,50,在庫状況確認と納期調整,埼玉県立総合教育センター木村 正事務局長を訪問し、価格改定の協議について協議。1520-01 キャンバストートバッグへの関心が高い。サンプルネイビー・ブラックを送付予定。見積りは2000枚規模で依頼あり。倉庫に在庫状況を確認して回答。,neutral,DEAL012,2026-02-20,サンプル; 価格
ACT028,REP002,CUST006,Web会議,2026-02-06,30,新規案件ヒアリング,プリントスター株式会社松本 大地代表取締役とWeb会議で価格改定の協議について協議。担当者変更の可能性あり注意。見積り15000枚ベースで作成予定。倉庫に在庫状況を確認して回答。,positive,,2026-02-10,価格; 競合プリントスター; ドライ
ACT098,REP008,CUST029,Web会議,2026-02-06,75,来期発注計画のすり合わせ,株式会社福岡ワーカーズ中島 大樹業務管理部長とWeb会議で5001-01 ヘビーウェイトTシャツの新規提案について協議。興味を示されたが価格面で慎重。見積り20000枚ベースで作成予定。次回訪問時にプレゼン資料持参。,neutral,DEAL053,2026-02-16,価格; 新規; ヘビーウェイト
ACT085,REP007,,訪問,2026-02-05,25,来期発注計画のすり合わせ,新規見込み客担当者を訪問し、価格改定の協議について協議。5004-01 ポケット付きTシャツへの関心が高い。サンプル蛍光オレンジ・ブラックを送付予定。見積りは15000枚規模で依頼あり。見積り作成後に再訪問。,negative,,2026-02-15,サンプル; 新規; 価格
ACT002,REP001,CUST027,Web会議,2026-02-03,75,新規案件ヒアリング,クリエイティブラボ東京松田 あゆみクリエイティブディレクターとWeb会議で来期の発注計画確認について協議。品質に満足いただけた。見積り15000枚ベースで作成予定。上長承認後に正式提案。,positive,DEAL002,2026-02-17,ヘビーウェイト
ACT032,REP003,CUST022,訪問,2026-02-03,20,価格改定の相談,宇都宮フットサルリーグ石原 拓也事務局長訪問。年間契約更新交渉。先方からはサンプル確認後に正式検討とのこと。競合は地元業者が入っているとの情報。上長承認後に正式提案。,positive,DEAL016,2026-02-16,サンプル; パーカー; 契約更新; スウェット
ACT035,REP003,CUST017,Web会議,2026-02-02,75,年間契約更新交渉,株式会社アスリートワン谷口 翔商品企画リーダーとWeb会議。5942-01 ドライアスレチックロングスリーブTシャツの新規提案について。現行品との比較テストを実施中。来月の定期訪問で進捗確認。,neutral,,,新規; ドライ
ACT080,REP006,CUST012,訪問,2026-02-02,120,デジタルプリントジャパン株式会社 定期フォロー,デジタルプリントジャパン株式会社村上 恵美仕入部長訪問。新商品ラインナップ提案。先方からは品質に満足いただけた。競合は不明が入っているとの情報。上長承認後に正式提案。,positive,DEAL044,2026-02-15,ドライ
ACT102,REP008,CUST011,訪問,2026-02-02,20,九州スポーツアカデミー 定期フォロー,九州スポーツアカデミー原田 大介アカデミー長を訪問。サンプル評価フィードバック。5942-01 ドライアスレチックロングスリーブTシャツの提案を実施。非常に前向きで早期発注を検討中。上長承認後に正式提案。,positive,,,サンプル; ドライ
ACT101,REP008,CUST020,訪問,2026-02-01,15,株式会社沖縄リゾートマネジメント 追加発注確認,株式会社沖縄リゾートマネジメント上原 明購買担当を訪問。追加発注の打ち合わせ。2020-01 ドライカノコポロシャツの提案を実施。予算確保が課題とのこと。来月の定期訪問で進捗確認。,negative,DEAL055,2026-02-15,ドライ; ポロシャツ
ACT022,REP002,,電話,2026-01-31,20,価格改定の相談,新規見込み客担当者より電話。新商品ラインナップ提案について。新色の追加を検討中。倉庫に在庫状況を確認して回答。,positive,,2026-02-08,新規; ドライ
ACT096,REP008,CUST029,訪問,2026-01-31,40,株式会社福岡ワーカーズ 追加発注確認,株式会社福岡ワーカーズ中島 大樹業務管理部長訪問。年間契約更新交渉。先方からは即決には至らず検討中。競合はプリントスター社が入っているとの情報。1週間以内にフォローアップ電話。,positive,DEAL057,2026-02-12,契約更新; 競合プリントスター; ドライ
ACT034,REP003,CUST003,メール,2026-01-30,40,サンプル送付・フィードバック確認,湘南スポーツクラブ藤井 健太運営部長宛に追加発注の打ち合わせのメールを送付。現行品との比較テストを実施中。GW明けに再度連絡。,neutral,DEAL018,2026-02-07,
ACT045,REP004,CUST021,電話,2026-01-30,75,年間契約更新交渉,新潟県温泉旅館組合斎藤 正夫事務局長に架電。来期の発注計画確認の確認。予算確保が課題とのこと。倉庫に在庫状況を確認して回答。,positive,,2026-02-04,ヘビーウェイト
ACT092,REP007,CUST010,メール,2026-01-30,60,新規案件ヒアリング,中国地方建設業協同組合山田 勝事務局次長にカタログ・サンプル(5214-01 スウェットプルオーバーパーカー ネイビー・バーガンディ)を送付完了。GW明けに再度連絡。,neutral,,,サンプル; パーカー; スウェット
ACT076,REP006,CUST016,Web会議,2026-01-28,45,新商品ラインナップ提案,株式会社名古屋テキスタイル近藤 裕也MD部長とオンライン打ち合わせ。5044-01 10.0オンス スウェットパンツの新規提案の詳細を確認。5044-01 10.0オンス スウェットパンツの刺繍・プリント加工の仕様を詳細確認。1週間以内にフォローアップ電話。,positive,DEAL041,2026-02-10,新規; スウェット
ACT091,REP007,,電話,2026-01-28,25,新規見込み客 追加発注確認,新規見込み客担当者より問い合わせ電話。5900-01 ドライアスレチックTシャツの現行品との比較テストを実施中。20000枚の見込み。GW明けに再度連絡。,neutral,,2026-02-07,新規; ドライ
ACT010,REP001,CUST027,訪問,2026-01-27,50,年間契約更新交渉,クリエイティブラボ東京松田 あゆみクリエイティブディレクターを訪問。追加発注の打ち合わせ。5044-01 10.0オンス スウェットパンツの提案を実施。予算確保が課題とのこと。見積り作成後に再訪問。,positive,DEAL002,2026-02-02,スウェット
ACT021,REP002,CUST025,電話,2026-01-27,20,価格改定の相談,関東学生陸上競技連盟久保田 修事務局次長に架電。在庫状況の確認と発注調整の確認。品質に満足いただけた。1週間以内にフォローアップ電話。,positive,DEAL008,,ヘビーウェイト
ACT063,REP005,CUST007,訪問,2026-01-27,75,新規案件ヒアリング,関西フードサービス株式会社吉田 裕子総務部課長を訪問し、5900-01 ドライアスレチックTシャツの新規提案について協議。5900-01 ドライアスレチックTシャツへの関心が高い。サンプルナチュラル・ブラックを送付予定。見積りは2000枚規模で依頼あり。1週間以内にフォローアップ電話。,negative,DEAL030,2026-02-04,サンプル; 新規; ドライ
ACT089,REP007,CUST030,メール,2026-01-27,30,岡山デニムストリート 定期フォロー,岡山デニムストリート武田 一郎店長宛に年間契約更新交渉のメールを送付。サンプル3色を来週送付予定。来週サンプル送付予定。,positive,DEAL047,2026-02-09,サンプル; 契約更新; ヘビーウェイト
ACT026,REP002,CUST006,電話,2026-01-24,20,新規案件ヒアリング,プリントスター株式会社松本 大地代表取締役に定期フォロー電話。5942-01 ドライアスレチックロングスリーブTシャツの新規提案。好感触で前向きな反応。次回は来月の定期訪問で進捗確認。,neutral,,2026-02-01,新規; 競合プリントスター; ドライ
ACT029,REP003,CUST003,訪問,2026-01-24,40,湘南スポーツクラブ 定期フォロー,湘南スポーツクラブ藤井 健太運営部長を訪問。年間契約の更新交渉。昨年度は5004-01 ポケット付きTシャツを中心に約2000枚の実績。今年度は10%増の見込み。価格据え置きで合意。上長承認後に正式提案。,neutral,DEAL018,2026-01-27,価格
ACT078,REP006,CUST009,メール,2026-01-24,40,京都織物工業株式会社 追加発注確認,京都織物工業株式会社井上 和夫商品企画部長にカタログ・サンプル(5029-01 ヘビーウェイトロングスリーブTシャツ スモーキーグリーン・ブラック)を送付完了。上長承認後に正式提案。,neutral,DEAL036,2026-02-05,サンプル; ヘビーウェイト
ACT044,REP004,CUST021,Web会議,2026-01-23,40,新潟県温泉旅館組合 追加発注確認,新潟県温泉旅館組合斎藤 正夫事務局長とオンライン打ち合わせ。在庫状況の確認と発注調整の詳細を確認。5900-01 ドライアスレチックTシャツの新色の追加を検討中。上長承認後に正式提案。,negative,,2026-02-05,ドライ
ACT094,REP008,CUST011,訪問,2026-01-22,20,年間契約更新交渉,九州スポーツアカデミー原田 大介アカデミー長を訪問し、来期の発注計画確認について協議。5001-01 ヘビーウェイトTシャツへの関心が高い。サンプルレッド・フォレストグリーンを送付予定。見積りは1000枚規模で依頼あり。1週間以内にフォローアップ電話。,positive,,2026-02-04,サンプル; ヘビーウェイト
ACT105,REP008,CUST029,訪問,2026-01-17,50,年間契約更新交渉,株式会社福岡ワーカーズ中島 大樹業務管理部長訪問。価格改定の協議。先方からは現行品との比較を希望。競合は不明が入っているとの情報。倉庫に在庫状況を確認して回答。,positive,DEAL056,2026-01-23,価格
ACT062,REP005,CUST028,電話,2026-01-15,15,神戸市スポーツ振興協会へのドライカノコポロシャツ提案,神戸市スポーツ振興協会遠藤 健次事業課長より電話。来期の発注計画確認について。刺繍・プリント加工の仕様を詳細確認。上長承認後に正式提案。,negative,,2026-01-27,ドライ; ポロシャツ
ACT097,REP008,CUST011,訪問,2026-01-15,120,新商品ラインナップ提案,九州スポーツアカデミー原田 大介アカデミー長を訪問。1520-01 キャンバストートバッグの新規提案。1520-01 キャンバストートバッグの提案を実施。好感触で前向きな反応。来月の定期訪問で進捗確認。,positive,,2026-01-27,新規
