id,title,category,subcategory,content,author_rep_id,source_activity_ids,tags,created_date,views,helpfulness_score,product_categories
KN001,ヘビーウェイトTシャツ5001-01の提案ポイント,商品知識,Tシャツ,5001-01は当社の主力商品であり、7.1オンスのヘビーウェイトが最大の特徴。提案時のポイント：1)透けにくさ（制服用途で重要）、2)洗濯耐久性（50回洗濯後も型崩れしにくい）、3)幅広いカラーバリエーション（48色展開）、4)サイズ展開の豊富さ（XS-XXXL）。特に法人制服案件では透けにくさと耐久性を前面に。アパレルブランド向けには生地の風合いとシルエットを訴求。,REP001,ACT001; ACT003,5001-01; ヘビーウェイト; 提案ポイント; 制服,2025-09-15,156,4.8,ヘビーウェイトTシャツ
KN002,ドライアスレチックTシャツ5900-01の用途別提案法,商品知識,ドライTシャツ,5900-01はポリエステル100%の吸汗速乾素材。用途別の提案法：【スポーツ】チーム練習着として。ネオンカラーの視認性を訴求。【建設・屋外作業】夏場の作業着として吸汗速乾と蛍光カラー（安全対策）。【イベント・フェス】大量枚数×短納期のニーズに応える。プリント適性（DTF対応良好）も訴求ポイント。【教育機関】体育祭・体操服としての採用実績を紹介。12色展開でクラスカラー分けに対応可能。,REP003,ACT004; ACT006,5900-01; ドライ; 用途別; スポーツ; 建設,2025-10-20,142,4.6,ドライTシャツ
KN003,入札案件の攻略法 - 官公庁・教育機関向け,営業ノウハウ,入札,官公庁・教育機関の入札で勝つためのポイント：1)仕様書の読み込みが最重要。要求品質・納期・数量を正確に把握。2)価格だけでなく品質保証と安定供給体制をアピール。3)過去の納入実績リストを添付（信頼性の担保）。4)サンプル提出を求められた場合は品質管理証明書も添付。5)入札価格は競合（特にプリントスター社）の価格帯を調査した上で設定。昨年度は8%の価格差で失注した実績あり。早期の社内承認が鍵。,REP002,ACT004; ACT025,入札; 官公庁; 学校; 価格戦略,2025-07-10,89,4.5,ドライTシャツ
KN004,大口顧客との価格交渉テクニック,営業ノウハウ,価格交渉,大口顧客から値下げ要求を受けた際の対応法：1)即答せず「社内検討します」で持ち帰る。2)一律値下げではなく、ボリュームディスカウントの段階制を提案（例：月間15000枚以上で3%、20000枚以上で5%）。3)価格だけでなく付加価値を提示（JIT納品、在庫確保優先、専任担当者配置）。4)年間契約での価格固定を条件に割引を提供。5)競合からの切り替え案件では初回割引ではなく2回目以降の継続メリットを訴求。,REP006,ACT013; ACT033,価格交渉; ボリュームディスカウント; 大口顧客,2026-01-15,124,4.7,
KN005,競合トムスからの切り替え成功事例,成功事例,競合対策,東京ユニフォームサービスの事例：トムスの制服Tシャツから5001-01への切り替えに成功。決め手は3点：1)生地の厚み（7.1oz vs 競合5.6oz）による耐久性の差。洗濯テスト結果を提示。2)カラーバリエーションの豊富さ（48色 vs 競合30色）で部門ごとの色分けニーズに対応。3)国内倉庫の在庫量による短納期対応（注文から3営業日で出荷可能）。提案から受注まで約3ヶ月。キーマンは現場の倉庫作業員のフィードバック。サンプルの着用テストが決め手になった。,REP001,,トムス; 切り替え; 制服; 成功事例,2025-08-20,178,4.9,ヘビーウェイトTシャツ
KN006,競合ギルダンからの切り替え提案のコツ,成功事例,競合対策,ギルダンからの切り替えを検討している顧客へのアプローチ：ギルダンのユーザーが不満に感じやすいポイントは1)国内在庫の不安定さ（海外倉庫からの取り寄せで2-3週間かかることも）、2)日本人体型へのフィット感の差（ギルダンはアメリカンフィットで袖が長め）、3)プリント加工時の仕上がり（綿の質感の違い）。切り替え提案時は必ずサンプルの直接比較を実施。テスト発注（10色×100枚程度の小ロット）からスタートし、品質と供給安定性を実感してもらう。,REP004,ACT009,ギルダン; 切り替え; グッズ制作; サンプル比較,2026-02-10,67,4.4,ヘビーウェイトTシャツ
KN007,飲食チェーン向けユニフォーム提案のベストプラクティス,営業ノウハウ,業種別アプローチ,飲食チェーンへの提案で押さえるべきポイント：1)素材選びは耐洗濯性と速乾性が最重要（油汚れ+頻繁な洗濯）。ドライカノコポロシャツ推奨。2)ダークカラー中心の提案（汚れが目立ちにくい）。3)ロゴ刺繍の加工業者連携を準備。4)新店舗オープン時の一括納入と、既存店舗の消耗品補充の2つのフローを提案。5)決裁者は総務部だが、現場（店長）のフィードバックが影響力大。サンプルは必ず現場に届ける。6)季節ごとの入れ替え提案で年間契約を獲得。,REP005,ACT010; ACT020,飲食; ユニフォーム; ポロシャツ; チェーン,2025-12-01,95,4.6,ポロシャツ; Tシャツ
KN008,プリント事業者との長期取引構築ノウハウ,営業ノウハウ,顧客関係構築,プリント事業者（DTG/DTF/シルクスクリーン）との取引を拡大するためのノウハウ：1)プリント技術の基礎知識を身につける（DTF、DTG、シルクスクリーンの違い、素材との相性）。2)素材との互換性情報を積極的に提供（5900-01はDTF相性◎、5001-01はDTG相性◎で前処理要）。3)在庫切れは絶対NG。事前の在庫確保と定期便の仕組みを構築。4)JIT納品のオプションを提示。5)新商品のサンプルを積極的に提供し、テストプリント結果を共有してもらう関係を構築。,REP006,ACT013; ACT032,プリント; DTF; DTG; 長期関係; 在庫管理,2026-03-01,83,4.3,ドライTシャツ; ヘビーウェイトTシャツ
KN009,スポーツクラブ・アカデミーへの年間契約獲得法,営業ノウハウ,業種別アプローチ,スポーツクラブやアカデミーとの年間契約を獲得するためのステップ：1)キーマンは運営部長/アカデミー長（予算決裁権あり）。2)チーム数×選手数×消耗率で年間需要量を算出し、年間一括見積りで単価メリットを訴求。3)チームごとのカラー分けに対応できるカラーバリエーションを強調。4)練習着は消耗が激しいため、耐久性テスト結果を提示。5)前年度の納期トラブルがある場合は改善策を先に提示（信頼回復）。6)ユースチームの拡大など成長要因を把握し、増加分のメリットを年間契約に組み込む。,REP008,ACT016,スポーツ; 年間契約; アカデミー; 練習着,2025-11-15,71,4.5,ドライTシャツ
KN010,大型イベント・フェスのグッズTシャツ案件攻略,成功事例,イベント,大阪プロモーションセンターの冬フェス12000枚受注の成功事例：1)早期のコンタクト（イベント6ヶ月前から提案開始）。2)在庫の早期確保コミット（生産計画に組み込む）。3)過去の実績に基づく信頼関係。4)絶対納期の厳守（フェスの場合、遅延は即失注+ペナルティ）。5)数量メリットの特別価格提示（通常の15%OFF）。学んだ教訓：サイズ比率は事前にイベント主催者からデータ入手。追加発注への対応余力を10%確保しておく。,REP005,ACT011; ACT026,フェス; 大型イベント; 大口受注; 納期管理,2025-12-15,112,4.8,ヘビーウェイトTシャツ; ドライTシャツ
KN011,別注カラー対応の提案ガイド,商品知識,別注,別注カラーの提案時に伝えるべき情報：【条件】最小ロット500枚/色から対応。リードタイムは約2ヶ月（色合わせ含む）。【費用】色見本作成は無料。初回ロットは通常価格の10-15%アップ（2回目以降は通常価格に近づく）。【プロセス】1)お客様からPantone番号または色見本を受領、2)工場で試作、3)色見本提出・承認、4)量産開始。【注意点】最小ロット未満はNG。色のブレは±5%が業界標準。綿素材はロットごとの色ブレがポリエステルより大きいことを事前説明。,REP006,ACT012; ACT022,別注; カスタムカラー; Pantone; ロット,2026-01-20,58,4.2,ヘビーウェイトTシャツ; スウェット
KN012,医療・介護施設向けウェア提案のポイント,営業ノウハウ,業種別アプローチ,医療・介護施設への提案ポイント：1)清潔感のあるカラー（白、パステル系）が必須。施設のブランドカラーに合わせる。2)動きやすさ重視。ストレッチ素材への関心が高まっている。3)洗濯頻度が高いため耐久性を訴求。4)施設ごとの少量多品種対応（1施設あたり50-100枚程度）に柔軟に対応。5)購買決裁は事務長/総務部が多い。現場スタッフ（看護師長、介護リーダー）の意見が大きく影響。6)衛生面の配慮（抗菌防臭加工）のニーズあり。,REP007,ACT015; ACT035,医療; 介護; ポロシャツ; パステル; 衛生,2026-02-20,45,4.1,ポロシャツ
KN013,2026年アパレル業界トレンド - B2B市場への影響,業界動向,トレンド,2026年のB2Bアパレル市場トレンド：1)サステナビリティ重視。オーガニックコットン、リサイクルポリエステルへの関心が高まっている。環境配慮型商品のラインナップ強化が必要。2)カジュアル化の進行。オフィスウェアのカジュアル化に伴い、ポロシャツ・Tシャツの法人需要が増加。3)EC・オンデマンドプリント市場の拡大。DTF/DTGプリント技術の普及により、小ロット・多品種のニーズ増。4)ジェンダーレスサイズの需要。従来のメンズ・レディース区分ではなくユニセックスサイズの要望。5)アースカラー・くすみカラーの人気継続。,REP005,ACT032,トレンド; サステナビリティ; カジュアル化; EC,2026-03-15,134,4.4,
KN014,在庫切れ時の顧客対応と代替提案フロー,営業ノウハウ,トラブル対応,在庫切れ発生時の対応手順：1)即座に顧客に連絡。在庫状況と入荷予定を正確に伝える。2)代替カラー/代替商品を提案（例：蛍光オレンジ在庫切れ→オレンジで代替）。3)入荷待ちの場合はETAを提示し、分割納品の可否を確認。4)再発防止策を提示（事前の在庫確保申請、定期便の設定）。5)お詫びとして次回発注時のサンプル無償提供などのフォローを検討。注意：在庫切れを隠したまま納期を引き延ばすのは絶対NG。信頼失墜につながる。,REP003,ACT006; ACT019,在庫切れ; 代替提案; トラブル対応,2025-11-01,98,4.7,
KN015,新規顧客開拓のコールスクリプト集,営業ノウハウ,新規開拓,新規開拓コール時のスクリプト：【導入】「United Athleの○○と申します。御社のウェア・ユニフォームのご調達について、お力になれることがないかご連絡しました。」【ニーズ確認】「現在のウェアのご調達先やお困りごとはございますか？」【差別化ポイント】「当社は国内倉庫に常時150アイテム・6000SKUの在庫をご用意しており、最短3営業日で出荷可能です。」【次のステップ】「まずはカタログとサンプルをお送りさせていただけますか？」成功率を上げるコツ：業界研究を事前に行い、相手のビジネスに合わせた提案を心がける。,REP003,ACT028,新規開拓; コールスクリプト; テレアポ,2026-02-01,76,4.3,
